Ticker,Description,Sector,Industry,Exchange
INGERRAND,INGERSOLL RAND,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
INNOVANA,INNOVANA THINKLABS,Technology Services,Packaged Software,NSE
INNOVATIVE.ST,INNOVATIVE TYRES &,Consumer Durables,Automotive Aftermarket,NSE
INOXGREEN,INOX GREEN ENERGY SER LTD,Utilities,Alternative Power Generation,NSE
INOXWIND,INOX WIND LTD,Producer Manufacturing,Electrical Products,NSE
INSECTICID,INSECTICIDES INDIA,Process Industries,Chemicals: Agricultural,NSE
INSPIRISYS,INSPIRISYS SOLUTIO,Technology Services,Information Technology Services,NSE
INTELLECT,INTELLECT DESIGN A,Technology Services,Packaged Software,NSE
INTENTECH,INTENSE TECHNOLOGI,Technology Services,Packaged Software,NSE
INTLCONV,INTL CONVEYORS LTD,Producer Manufacturing,Miscellaneous Manufacturing,NSE
INVENTURE,INVENTURE GROWTH &,Finance,Investment Banks/Brokers,NSE
IOB,INDIAN OVERSEAS BK,Finance,Major Banks,NSE
IOC,INDIAN OIL CORP,Energy Minerals,Integrated Oil,NSE
IOLCP,IOL CHEMICALS&PHAR,Process Industries,Chemicals: Specialty,NSE
IONEXCHANG,ION EXCHANGE (INDIA) LTD,Producer Manufacturing,Industrial Machinery,NSE
IPCALAB,IPCA LABORATORIES,Health Technology,Pharmaceuticals: Major,NSE
IPL,INDIA PESTICIDES LTD,Process Industries,Chemicals: Agricultural,NSE
IPSL,INTEGRATED PERSONN,Commercial Services,Personnel Services,NSE
IRB,IRB INFRASTRUCTURE,Industrial Services,Engineering & Construction,NSE
IRCON,IRCON INTERNATIONA,Industrial Services,Engineering & Construction,NSE
IRCTC,INDIAN RAIL TOUR CORP LTD,Consumer Services,Other Consumer Services,NSE
IRFC,INDIAN RAILWAY FIN CORP L,Finance,Finance/Rental/Leasing,NSE
IRIS,IRIS BUSINESS SERV LTD,Technology Services,Packaged Software,NSE
IRISDOREME,IRIS CLOTHINGS LTD,Consumer Non-Durables,Apparel/Footwear,NSE
ISEC,ICICI SEC. LTD,Finance,Investment Banks/Brokers,NSE
ISFT,INTRASOFT TECHNOLO,Retail Trade,Internet Retail,NSE
ISGEC,ISGEC HEAVY ENG LTD,Industrial Services,Engineering & Construction,NSE
ISHAN,ISHAN INTERNATIONA,Distribution Services,Wholesale Distributors,NSE
ISMTLTD,ISMT LTD,Non-Energy Minerals,Steel,NSE
ITC,ITC LTD,Consumer Non-Durables,Tobacco,NSE
ITDC,INDIA TOURISM DEV,Consumer Services,Hotels/Resorts/Cruise lines,NSE
ITDCEM,ITD CEMENTATION IN,Industrial Services,Engineering & Construction,NSE
ITI,ITI LIMITED,Communications,Major Telecommunications,NSE
IVC,IL & FS INVESTMENT,Finance,Investment Banks/Brokers,NSE
IVP,IVP LTD,Process Industries,Chemicals: Specialty,NSE
IWEL,INOX WIND ENERGY LTD,Utilities,Alternative Power Generation,NSE
IZMO,IZMO LTD,Technology Services,Packaged Software,NSE
J_KBANK,JAMMU & KASHMIR BA,Finance,Regional Banks,NSE
JAGRAN,JAGRAN PRAKASHAN L,Consumer Services,Publishing: Newspapers,NSE
JAGSNPHARM,JAGSONPAL PHARMACE,Health Technology,Pharmaceuticals: Generic,NSE
JAIBALAJI,JAI BALAJI IND,Non-Energy Minerals,Steel,NSE
JAICORPLTD,JAI CORP LTD,Process Industries,Containers/Packaging,NSE
JAINAM,JAINAM FERRO ALLOY,Producer Manufacturing,Metal Fabrication,NSE
JAIPURKURT,NANDANI CREATION LTD,Consumer Non-Durables,Apparel/Footwear,NSE
JALAN,JALAN TRANSOLUTION,Transportation,Air Freight/Couriers,NSE
JAMNAAUTO,JAMNA AUTO IND,Producer Manufacturing,Auto Parts: OEM,NSE
JASH,JASH ENGINEERING LTD,Producer Manufacturing,Industrial Machinery,NSE
JAYAGROGN,JAYANT AGRO-ORG,Process Industries,Agricultural Commodities/Milling,NSE
JAYBARMARU,JAY BHARAT MARUTI,Distribution Services,Wholesale Distributors,NSE
JAYNECOIND,JAYASWAL NECO IND,Producer Manufacturing,Metal Fabrication,NSE
JAYSREETEA,JAYSHREE TEA,Process Industries,Agricultural Commodities/Milling,NSE
JBCHEPHARM,J.B.CHEMICALS & PH,Health Technology,Pharmaceuticals: Major,NSE
JBMA,JBM AUTO LTD,Producer Manufacturing,Auto Parts: OEM,NSE
JCHAC,JOHNSON CONTROLS-H,Consumer Durables,Electronics/Appliances,NSE
JETAIRWAYS,JET AIRWAYS INDIA,Transportation,Airlines,NSE
JETFREIGHT,JET FREIGHT LOGISTICS LTD,Transportation,Airlines,NSE
JFLLIFE,JFL LIFE SCIENCES,Health Technology,Pharmaceuticals: Major,NSE
JHS,JHS SVENDGAARD LAB,Consumer Non-Durables,Household/Personal Care,NSE
JINDALPHOT,JINDAL PHOTO LTD,Finance,Financial Conglomerates,NSE
JINDALPOLY,JINDAL POLY FILMS,Process Industries,Containers/Packaging,NSE
JINDALSAW,JINDAL SAW LTD,Non-Energy Minerals,Steel,NSE
JINDALSTEL,JINDAL STEEL & PWR,Non-Energy Minerals,Steel,NSE
JINDRILL,JINDAL DRILLING,Industrial Services,Contract Drilling,NSE
JINDWORLD,JINDAL WORLDWIDE,Process Industries,Textiles,NSE
JISLDVREQS,JAIN IRRIGATION,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
JITFINFRA,JITF INFRALOGISTIC,Transportation,Trucking,NSE
JKCEMENT,JK CEMENTS LTD,Non-Energy Minerals,Construction Materials,NSE
JKIL,J KUMAR INFAPROJEC,Industrial Services,Engineering & Construction,NSE
JKLAKSHMI,JK LAKSHMI CEMENT,Non-Energy Minerals,Construction Materials,NSE
JKPAPER,JK PAPER LTD,Process Industries,Pulp & Paper,NSE
JKTYRE,JK TYRE&INDUSTRIES,Consumer Durables,Automotive Aftermarket,NSE
JMA,JULLUNDUR MOTOR AG,Distribution Services,Wholesale Distributors,NSE
JMFINANCIL,JM FINANCIAL,Finance,Investment Banks/Brokers,NSE
JOCIL,JOCIL LTD,Process Industries,Chemicals: Specialty,NSE
JPASSOCIAT,JAIPRAKASH ASSOCIA,Producer Manufacturing,Industrial Conglomerates,NSE
JPOLYINVST,JINDAL POLY INV &,Finance,Investment Managers,NSE
JPPOWER,JAIPRAKASH POWER,Utilities,Electric Utilities,NSE
JSL,JINDAL STAINLESS,Non-Energy Minerals,Steel,NSE
JSWENERGY,JSW ENERGY LTD,Utilities,Electric Utilities,NSE
JSWHL,JSW HOLDINGS LTD,Finance,Investment Banks/Brokers,NSE
JSWISPL,JSW ISPAT SPE PRO LTD,Non-Energy Minerals,Steel,NSE
JSWSTEEL,JSW STEEL LTD,Non-Energy Minerals,Steel,NSE
JTEKTINDIA,JTEKT INDIA LTD,Consumer Durables,Automotive Aftermarket,NSE
JTLIND,JTL INDUSTRIES LTD,Non-Energy Minerals,Steel,NSE
JUBLFOOD,JUBILANT FOODWORKS,Consumer Services,Restaurants,NSE
JUBLINDS,JUBILANT INDUSTRIE,Process Industries,Textiles,NSE
JUBLINGREA,JUBILANT INGREVIA LTD,Process Industries,Chemicals: Major Diversified,NSE
JUBLPHARMA,JUBILANT PHARMOVA LTD,Health Technology,Pharmaceuticals: Major,NSE
JUSTDIAL,JUST DIAL LTD,Technology Services,Internet Software/Services,NSE
JWL,JUPITER WAGONS LTD,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
JYOTHYLAB,JYOTHY LABS LTD,Consumer Non-Durables,Household/Personal Care,NSE
JYOTISTRUC,JYOTI STRUCTURES,Utilities,Electric Utilities,NSE
KABRAEXTRU,KABRA EXTRUSIONTEC,Producer Manufacturing,Industrial Machinery,NSE
KAJARIACER,KAJARIA CERAMICS,Producer Manufacturing,Building Products,NSE
KAKATCEM,KAKATIYA CEM SUGAR,Non-Energy Minerals,Construction Materials,NSE
KALPATPOWR,KALPATARU POWER TR,Industrial Services,Engineering & Construction,NSE
KALYANIFRG,KALYANI FORGE,Producer Manufacturing,Auto Parts: OEM,NSE
KALYANKJIL,KALYAN JEWELLERS IND LTD,Retail Trade,Specialty Stores,NSE
KAMATHOTEL,KAMAT HOTELS (IND),Consumer Services,Hotels/Resorts/Cruise lines,NSE
KAMDHENU,KAMDHENU LTD,Non-Energy Minerals,Steel,NSE
KAMOPAINTS,KAMDHENU VENTURES LTD,Process Industries,Industrial Specialties,NSE
KANANIIND,KANANI INDUSTRIES,Consumer Durables,Other Consumer Specialties,NSE
KANDARP,KANDARP DIGI SMART,Commercial Services,Miscellaneous Commercial Services,NSE
KANORICHEM,KANORIA CHEMICALS,Process Industries,Chemicals: Specialty,NSE
KANPRPLA,KANPUR PLASTIPACK LTD,Producer Manufacturing,Miscellaneous Manufacturing,NSE
KANSAINER,KANSAI NEROLAC PAI,Process Industries,Industrial Specialties,NSE
KAPSTON,KAPSTON FACILITIES MGMT L,Commercial Services,Miscellaneous Commercial Services,NSE
KARMAENG,KARMA ENERGY LTD,Utilities,Electric Utilities,NSE
KARURVYSYA,KARUR VYSYA BANK,Finance,Regional Banks,NSE
KAUSHALYA,KAUSHALYA INFRASTR,Industrial Services,Engineering & Construction,NSE
KAVVERITEL,KAVVERI TELECOM PR,Electronic Technology,Telecommunications Equipment,NSE
KAYA,KAYA LTD,Consumer Non-Durables,Household/Personal Care,NSE
KAYNES,KAYNES TECHNOLOGY IND LTD,Electronic Technology,Electronic Production Equipment,NSE
KBCGLOBAL,KBC GLOBAL LTD,Finance,Real Estate Development,NSE
KCP,KCP LTD,Producer Manufacturing,Industrial Conglomerates,NSE
KCPSUGIND,KCP SUGAR & INDUST,Process Industries,Agricultural Commodities/Milling,NSE
KDDL,KDDL LTD,Consumer Durables,Other Consumer Specialties,NSE
KEC,KEC INTERNATIONAL,Industrial Services,Engineering & Construction,NSE
KECL,KIRLOSKAR ELECTRIC,Producer Manufacturing,Electrical Products,NSE
KEEPLEARN,DSJ KEEP LEARNING,Commercial Services,Commercial Printing/Forms,NSE
KEI,KEI INDUSTRIES,Producer Manufacturing,Electrical Products,NSE
KELLTONTEC,KELLTON TECH SOLU,Technology Services,Packaged Software,NSE
KENNAMET,KENNAMETAL INDIA L,Producer Manufacturing,Metal Fabrication,NSE
KERNEX,KERNEX MICROSYSTEM,Electronic Technology,Computer Communications,NSE
KESORAMIND,KESORAM INDUSTRIES,Consumer Durables,Automotive Aftermarket,NSE
KEYFINSERV,KEYNOTE FINANCIAL,Finance,Investment Banks/Brokers,NSE
KFINTECH,KFIN TECHNOLOGIES LTD,Technology Services,Packaged Software,NSE
KHADIM,KHADIM INDIA LTD,Consumer Non-Durables,Apparel/Footwear,NSE
KHAICHEM,KHAITAN CHEM & FERT LTD,Process Industries,Chemicals: Agricultural,NSE
KHAITANLTD,KHAITAN (INDIA)LTD,Consumer Durables,Electronics/Appliances,NSE
KHANDSE,KHANDWALA SEC LTD,Finance,Investment Banks/Brokers,NSE
KHFM,KHFM H AND F MGT S,Commercial Services,Miscellaneous Commercial Services,NSE
KICL,KALYANI INVESTMENT,Finance,Financial Conglomerates,NSE
KILITCH,KILITCH DRUGS(INDI,Health Technology,Pharmaceuticals: Major,NSE
KIMS,KRISHNA INST OF MED SCI L,Health Services,Hospital/Nursing Management,NSE
KINGFA,KINGFA SCIENCE & T,Process Industries,Chemicals: Specialty,NSE
KIOCL,KIOCL LTD,Non-Energy Minerals,Steel,NSE
KIRIINDUS,KIRI INDUSTRIES LTD,Process Industries,Chemicals: Specialty,NSE
KIRLFER,KIRLOSKAR FERROUS IND LTD,Non-Energy Minerals,Steel,NSE
KIRLOSBROS,KIRLOSKAR BROTHERS,Producer Manufacturing,Industrial Machinery,NSE
KIRLOSENG,KIRLOSKAR OIL ENGI,Producer Manufacturing,Electrical Products,NSE
KIRLOSIND,KIRLOSKAR IND LTD,Non-Energy Minerals,Steel,NSE
KITEX,KITEX GARMENTS LTD,Process Industries,Textiles,NSE
KKCL,KEWEL KIRAN CLOTHI,Consumer Non-Durables,Apparel/Footwear,NSE
KMSUGAR,KM SUGAR MILLS LTD,Process Industries,Agricultural Commodities/Milling,NSE
KNAGRI,KN AGRI RESOURCES,Process Industries,Agricultural Commodities/Milling,NSE
KNRCON,KNR CONSTRUCTIONS,Industrial Services,Engineering & Construction,NSE
KOHINOOR,KOHINOOR FOODS,Process Industries,Agricultural Commodities/Milling,NSE
KOKUYOCMLN,KOKUYO CAMLIN LTD,Consumer Durables,Tools & Hardware,NSE
KOLTEPATIL,KOLTE-PATIL DEVELO,Finance,Real Estate Development,NSE
KOPRAN,KOPRAN LTD,Health Technology,Pharmaceuticals: Major,NSE
KORE,JAY JALARAM TECHNO,Distribution Services,Electronics Distributors,NSE
KOTAKBANK,KOTAK MAHINDRA BAN,Finance,Major Banks,NSE
KOTARISUG,KOTHARI SUGAR&CHEM,Process Industries,Agricultural Commodities/Milling,NSE
KOTHARIPET,KOTHARI PETROCHEM,Process Industries,Chemicals: Specialty,NSE
KOTHARIPRO,KOTHARI PRODUCTS,Distribution Services,Wholesale Distributors,NSE
KOTYARK,KOTYARK INDUSTRIES,Process Industries,Industrial Specialties,NSE
KOVAI,KOVAI MEDICAL CENTER & HO,Health Services,Hospital/Nursing Management,NSE
KPIGREEN,KPI GREEN ENERGY LTD,Utilities,Alternative Power Generation,NSE
KPITTECH,KPIT TECHNOLOGIES,Technology Services,Packaged Software,NSE
KPRMILL,KPR MILL LTD,Consumer Non-Durables,Apparel/Footwear,NSE
KRBL,KRBL LTD,Process Industries,Agricultural Commodities/Milling,NSE
KREBSBIO,KREBS BIOCHEM&INDS,Health Technology,Pharmaceuticals: Major,NSE
KRIDHANINF,KRIDHAN INFRA LIMI,Non-Energy Minerals,Steel,NSE
KRISHANA,KRISHANA PHOSCHEM LTD,Process Industries,Chemicals: Agricultural,NSE
KRISHIVAL,EMPYREAN CASHEWS L,Process Industries,Agricultural Commodities/Milling,NSE
KRISHNADEF,KRISHNA DEFENCE AN,Electronic Technology,Aerospace & Defense,NSE
KRITI,KRITI INDUSTRIES IND LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
KRITIKA,KRITIKA WIRES LTD,Producer Manufacturing,Metal Fabrication,NSE
KRITINUT,KRITI NUTRIENTS LTD,Process Industries,Agricultural Commodities/Milling,NSE
KRSNAA,KRSNAA DIAGNOSTICS LTD,Health Services,Medical/Nursing Services,NSE
KSB,KSB LTD,Producer Manufacturing,Industrial Machinery,NSE
KSCL,KAVERI SEED COMPAN,Process Industries,Agricultural Commodities/Milling,NSE
KSHITIJPOL,KSHITIJ POLYLINE LTD,Process Industries,Containers/Packaging,NSE
KSL,KALYANI STEELS,Non-Energy Minerals,Steel,NSE
KSOLVES,KSOLVES INDIA LTD,Technology Services,Packaged Software,NSE
KTKBANK,KARNATAKA BANK,Finance,Regional Banks,NSE
KUANTUM,KUANTUM PAPERS LTD,Process Industries,Pulp & Paper,NSE
L_TFH,L&T FINANCE HOLDIN,Finance,Finance/Rental/Leasing,NSE
LAGNAM,LAGNAM SPINTEX LTD,Process Industries,Textiles,NSE
LAKPRE,LAKSHMI PRECISION,Producer Manufacturing,Metal Fabrication,NSE
LALPATHLAB,DR LAL PATHLABS LTD,Health Services,Medical/Nursing Services,NSE
LAMBODHARA,LAMBODHARA TEXTILE,Process Industries,Textiles,NSE
LANCER,LANCER CONTAINER L,Transportation,Marine Shipping,NSE
LANDMARK,LANDMARK CARS LTD,Retail Trade,Specialty Stores,NSE
LAOPALA,LA-OPALA RG LTD,Consumer Durables,Home Furnishings,NSE
LASA,LASA SUPERGENERICS,Health Technology,Pharmaceuticals: Major,NSE
LATENTVIEW,LATENT VIEW ANALYTICS LTD,Commercial Services,Miscellaneous Commercial Services,NSE
LAURUSLABS,LAURUS LABS LTD,Health Technology,Pharmaceuticals: Major,NSE
LAXMICOT,LAXMI COTSPIN LTD,Process Industries,Textiles,NSE
LAXMIMACH,LAKSHMI MACHINE,Producer Manufacturing,Industrial Machinery,NSE
LCCINFOTEC,LCC INFOTECH,Technology Services,Information Technology Services,NSE
LEMERITE,LE MERITE EXPORTS,Process Industries,Textiles,NSE
LEMONTREE,LEMON TREE HOTELS,Consumer Services,Hotels/Resorts/Cruise lines,NSE
LEXUS,LEXUS GRANITO (INDIA) LTD,Producer Manufacturing,Building Products,NSE
LFIC,LAKSHMI FINANCE &,Finance,Financial Conglomerates,NSE
LGBBROSLTD,LG BALAKRISHNA & B,Producer Manufacturing,Electrical Products,NSE
LGBFORGE,LGB FORGE LTD,Producer Manufacturing,Metal Fabrication,NSE
LIBAS,LIBAS DESIGNS LTD,Consumer Non-Durables,Apparel/Footwear,NSE
LIBERTSHOE,LIBERTY SHOES,Consumer Non-Durables,Apparel/Footwear,NSE
LICHSGFIN,LIC HOUSING FINAN,Finance,Finance/Rental/Leasing,NSE
LICI,LIFE INSURA CORP OF INDIA,Finance,Life/Health Insurance,NSE
LIKHITHA,LIKHITHA INFRASTRUC LTD,Industrial Services,Engineering & Construction,NSE
LINC,LINC LTD,Consumer Non-Durables,Consumer Sundries,NSE
LINCOLN,LINCOLN PHARMA LTD,Health Technology,Pharmaceuticals: Major,NSE
LINDEINDIA,LINDE INDIA LTD,Process Industries,Chemicals: Specialty,NSE
LLOYDS,LLOYDS LUXURIES LI,Retail Trade,Specialty Stores,NSE
LODHA,MACROTECH DEVELOPERS LTD,Finance,Real Estate Development,NSE
LOKESHMACH,LOKESH MACHINES,Technology Services,Information Technology Services,NSE
LOTUSEYE,LOTUS EYE HOSPITA,Health Services,Medical/Nursing Services,NSE
LOVABLE,LOVABLE LINGERIE L,Consumer Non-Durables,Apparel/Footwear,NSE
LOYALTEX,LOYAL TEXTILE MILLS LTD,Process Industries,Textiles,NSE
LPDC,LANDMARK PROP DEV,Finance,Real Estate Development,NSE
LRRPL,LEAD RECLAIM & RUB,Process Industries,Chemicals: Specialty,NSE
LSIL,LLOYDS STEELS INDU,Industrial Services,Engineering & Construction,NSE
LT,LARSEN & TOUBRO,Industrial Services,Engineering & Construction,NSE
LTIM,LTIMINDTREE LTD,Commercial Services,Miscellaneous Commercial Services,NSE
LTTS,L&T TECHNOLOGY SER,Industrial Services,Engineering & Construction,NSE
LUMAXIND,LUMAX INDUSTRIES,Producer Manufacturing,Auto Parts: OEM,NSE
LUMAXTECH,LUMAX AUTO TECHNOL,Producer Manufacturing,Auto Parts: OEM,NSE
LUPIN,LUPIN LTD,Health Technology,Pharmaceuticals: Other,NSE
LUXIND,LUX INDUSTRIES LTD,Consumer Non-Durables,Apparel/Footwear,NSE
LXCHEM,LAXMI ORGANIC INDUS LTD,Process Industries,Chemicals: Specialty,NSE
LYKALABS,LYKA LABORATORIES,Health Technology,Pharmaceuticals: Other,NSE
LYPSAGEMS,LYPSA GEMS & JEWEL,Consumer Durables,Other Consumer Specialties,NSE
M_M,MAHINDRA &MAHINDRA,Consumer Durables,Motor Vehicles,NSE
M_MFIN,MAHINDRA &MAH FIN,Finance,Finance/Rental/Leasing,NSE
MAANALU,MAAN ALUMINIUM LTD,Non-Energy Minerals,Aluminum,NSE
MACPOWER,MACPOWER CNC MACHINES LTD,Producer Manufacturing,Industrial Machinery,NSE
MADHAV,MADHAV MARB & GRAN,Non-Energy Minerals,Construction Materials,NSE
MADHUCON,MADHUCON PROJECTS,Industrial Services,Engineering & Construction,NSE
MADRASFERT,MADRAS FERTILIZERS,Process Industries,Chemicals: Agricultural,NSE
MAGADSUGAR,MAGADH SUGAR & ENE,Process Industries,Agricultural Commodities/Milling,NSE
MAGNUM,MAGNUM VENTURES LTD,Process Industries,Pulp & Paper,NSE
MAHABANK,BK OF MAHARASHTRA,Finance,Major Banks,NSE
MAHAPEXLTD,MAHA RASHTRA APEX,Finance,Finance/Rental/Leasing,NSE
MAHASTEEL,MAHAMAYA STEEL IND,Non-Energy Minerals,Steel,NSE
MAHEPC,MAHINDRA EPC IRRIG LTD,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
MAHESHWARI,MAHESHWARI LOGISTI,Transportation,Air Freight/Couriers,NSE
MAHICKRA,MAHICKRA CHEMICALS,Process Industries,Chemicals: Specialty,NSE
MAHINDCIE,MAHINDRA CIE AUTO,Producer Manufacturing,Auto Parts: OEM,NSE
MAHLIFE,MAHINDRA LIFESPACE,Finance,Real Estate Development,NSE
